lyr,mean,time
analysed_sst|2025-05-15 12:00:00,NA,2025-05-15T12:00:00Z
analysed_sst|2025-05-16 12:00:00,NA,2025-05-16T12:00:00Z
analysed_sst|2025-01-01 12:00:00,NA,2025-01-01T12:00:00Z
analysed_sst|2025-01-02 12:00:00,NA,2025-01-02T12:00:00Z
analysed_sst|2025-01-03 12:00:00,NA,2025-01-03T12:00:00Z
analysed_sst|2025-01-04 12:00:00,NA,2025-01-04T12:00:00Z
analysed_sst|2025-01-05 12:00:00,NA,2025-01-05T12:00:00Z
analysed_sst|2025-01-06 12:00:00,NA,2025-01-06T12:00:00Z
analysed_sst|2025-01-07 12:00:00,NA,2025-01-07T12:00:00Z
analysed_sst|2025-01-08 12:00:00,NA,2025-01-08T12:00:00Z
analysed_sst|2025-01-09 12:00:00,NA,2025-01-09T12:00:00Z
analysed_sst|2025-01-10 12:00:00,NA,2025-01-10T12:00:00Z
analysed_sst|2025-01-11 12:00:00,NA,2025-01-11T12:00:00Z
analysed_sst|2025-01-12 12:00:00,NA,2025-01-12T12:00:00Z
analysed_sst|2025-01-13 12:00:00,NA,2025-01-13T12:00:00Z
analysed_sst|2025-01-14 12:00:00,NA,2025-01-14T12:00:00Z
analysed_sst|2025-01-15 12:00:00,NA,2025-01-15T12:00:00Z
analysed_sst|2025-01-16 12:00:00,NA,2025-01-16T12:00:00Z
analysed_sst|2025-01-17 12:00:00,NA,2025-01-17T12:00:00Z
analysed_sst|2025-01-18 12:00:00,NA,2025-01-18T12:00:00Z
analysed_sst|2025-01-19 12:00:00,NA,2025-01-19T12:00:00Z
analysed_sst|2025-01-20 12:00:00,NA,2025-01-20T12:00:00Z
analysed_sst|2025-01-21 12:00:00,NA,2025-01-21T12:00:00Z
analysed_sst|2025-01-22 12:00:00,NA,2025-01-22T12:00:00Z
analysed_sst|2025-01-23 12:00:00,NA,2025-01-23T12:00:00Z
analysed_sst|2025-01-24 12:00:00,NA,2025-01-24T12:00:00Z
analysed_sst|2025-01-25 12:00:00,NA,2025-01-25T12:00:00Z
analysed_sst|2025-01-26 12:00:00,NA,2025-01-26T12:00:00Z
analysed_sst|2025-01-27 12:00:00,NA,2025-01-27T12:00:00Z
analysed_sst|2025-01-28 12:00:00,NA,2025-01-28T12:00:00Z
analysed_sst|2025-01-29 12:00:00,NA,2025-01-29T12:00:00Z
analysed_sst|2025-01-30 12:00:00,NA,2025-01-30T12:00:00Z
analysed_sst|2025-01-31 12:00:00,NA,2025-01-31T12:00:00Z
analysed_sst|2025-02-01 12:00:00,NA,2025-02-01T12:00:00Z
analysed_sst|2025-02-02 12:00:00,NA,2025-02-02T12:00:00Z
analysed_sst|2025-02-03 12:00:00,NA,2025-02-03T12:00:00Z
analysed_sst|2025-02-04 12:00:00,NA,2025-02-04T12:00:00Z
analysed_sst|2025-02-05 12:00:00,NA,2025-02-05T12:00:00Z
analysed_sst|2025-02-06 12:00:00,NA,2025-02-06T12:00:00Z
analysed_sst|2025-02-07 12:00:00,NA,2025-02-07T12:00:00Z
analysed_sst|2025-02-08 12:00:00,NA,2025-02-08T12:00:00Z
analysed_sst|2025-02-09 12:00:00,NA,2025-02-09T12:00:00Z
analysed_sst|2025-02-10 12:00:00,NA,2025-02-10T12:00:00Z
analysed_sst|2025-02-11 12:00:00,NA,2025-02-11T12:00:00Z
analysed_sst|2025-02-12 12:00:00,NA,2025-02-12T12:00:00Z
analysed_sst|2025-02-13 12:00:00,NA,2025-02-13T12:00:00Z
analysed_sst|2025-02-14 12:00:00,NA,2025-02-14T12:00:00Z
analysed_sst|2025-02-15 12:00:00,NA,2025-02-15T12:00:00Z
analysed_sst|2025-02-16 12:00:00,NA,2025-02-16T12:00:00Z
analysed_sst|2025-02-17 12:00:00,NA,2025-02-17T12:00:00Z
analysed_sst|2025-02-18 12:00:00,NA,2025-02-18T12:00:00Z
analysed_sst|2025-02-19 12:00:00,NA,2025-02-19T12:00:00Z
analysed_sst|2025-02-20 12:00:00,NA,2025-02-20T12:00:00Z
analysed_sst|2025-02-21 12:00:00,NA,2025-02-21T12:00:00Z
analysed_sst|2025-02-22 12:00:00,NA,2025-02-22T12:00:00Z
analysed_sst|2025-02-23 12:00:00,NA,2025-02-23T12:00:00Z
analysed_sst|2025-02-24 12:00:00,NA,2025-02-24T12:00:00Z
analysed_sst|2025-02-25 12:00:00,NA,2025-02-25T12:00:00Z
analysed_sst|2025-02-26 12:00:00,NA,2025-02-26T12:00:00Z
analysed_sst|2025-02-27 12:00:00,NA,2025-02-27T12:00:00Z
analysed_sst|2025-02-28 12:00:00,NA,2025-02-28T12:00:00Z
analysed_sst|2025-03-01 12:00:00,NA,2025-03-01T12:00:00Z
analysed_sst|2025-03-02 12:00:00,NA,2025-03-02T12:00:00Z
analysed_sst|2025-03-03 12:00:00,NA,2025-03-03T12:00:00Z
analysed_sst|2025-03-04 12:00:00,NA,2025-03-04T12:00:00Z
analysed_sst|2025-03-05 12:00:00,NA,2025-03-05T12:00:00Z
analysed_sst|2025-03-06 12:00:00,NA,2025-03-06T12:00:00Z
analysed_sst|2025-03-07 12:00:00,NA,2025-03-07T12:00:00Z
analysed_sst|2025-03-08 12:00:00,NA,2025-03-08T12:00:00Z
analysed_sst|2025-03-09 12:00:00,NA,2025-03-09T12:00:00Z
analysed_sst|2025-03-10 12:00:00,NA,2025-03-10T12:00:00Z
analysed_sst|2025-03-11 12:00:00,NA,2025-03-11T12:00:00Z
analysed_sst|2025-03-12 12:00:00,NA,2025-03-12T12:00:00Z
analysed_sst|2025-03-13 12:00:00,NA,2025-03-13T12:00:00Z
analysed_sst|2025-03-14 12:00:00,NA,2025-03-14T12:00:00Z
analysed_sst|2025-03-15 12:00:00,NA,2025-03-15T12:00:00Z
analysed_sst|2025-03-16 12:00:00,NA,2025-03-16T12:00:00Z
analysed_sst|2025-03-17 12:00:00,NA,2025-03-17T12:00:00Z
analysed_sst|2025-03-18 12:00:00,NA,2025-03-18T12:00:00Z
analysed_sst|2025-03-19 12:00:00,NA,2025-03-19T12:00:00Z
analysed_sst|2025-03-20 12:00:00,NA,2025-03-20T12:00:00Z
analysed_sst|2025-03-21 12:00:00,NA,2025-03-21T12:00:00Z
